LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE
10.3570000000,12.8142000000,317.1000000000,1.4000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"41","6.03",304.1000000000,8.3000000000,D,"0"
11.2767000000,12.4806000000,322.9000000000,1.5000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"64","6.03",304.8000000000,20.5000000000,D,"0"
11.2676000000,12.4655000000,345.2000000000,1.5000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"92","6.03",303.3000000000,77.5000000000,D,"0"
11.2658000000,12.4792000000,337.2000000000,1.5000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"86","6.03",306.5000000000,52.0000000000,D,"0"
9.1621000000,11.7631000000,319.6000000000,1.6000000000,1.2000000000,2019-01-01,"0930",Terra,MODIS,"56","6.03",305.2000000000,11.9000000000,D,"0"
9.6632000000,10.6494000000,320.4000000000,2.0000000000,1.4000000000,2019-01-01,"0930",Terra,MODIS,"48","6.03",306.7000000000,17.4000000000,D,"0"
9.8652000000,10.2999000000,315.0000000000,2.1000000000,1.4000000000,2019-01-01,"0930",Terra,MODIS,"37","6.03",302.7000000000,16.8000000000,D,"0"
9.6321000000,9.1250000000,328.9000000000,2.6000000000,1.5000000000,2019-01-01,"0930",Terra,MODIS,"80","6.03",301.1000000000,77.6000000000,D,"0"
9.7081000000,13.1439000000,325.3000000000,1.3000000000,1.1000000000,2019-01-01,"0930",Terra,MODIS,"70","6.03",308.6000000000,15.8000000000,D,"0"
9.6258000000,9.1184000000,329.1000000000,2.6000000000,1.5000000000,2019-01-01,"0930",Terra,MODIS,"80","6.03",301.0000000000,78.8000000000,D,"0"
9.5809000000,10.5782000000,320.5000000000,2.0000000000,1.4000000000,2019-01-01,"0930",Terra,MODIS,"65","6.03",305.7000000000,18.6000000000,D,"0"
10.7669000000,6.6603000000,314.3000000000,4.2000000000,1.9000000000,2019-01-01,"0930",Terra,MODIS,"57","6.03",298.4000000000,49.5000000000,D,"0"
10.4220000000,6.6700000000,312.0000000000,4.1000000000,1.9000000000,2019-01-01,"0930",Terra,MODIS,"37","6.03",297.2000000000,38.7000000000,D,"0"
10.4181000000,6.6622000000,312.1000000000,4.1000000000,1.9000000000,2019-01-01,"0930",Terra,MODIS,"39","6.03",297.1000000000,38.6000000000,D,"0"
8.4910000000,10.4304000000,317.9000000000,1.9000000000,1.4000000000,2019-01-01,"0930",Terra,MODIS,"47","6.03",303.4000000000,14.6000000000,D,"0"
8.4875000000,10.4231000000,320.4000000000,1.9000000000,1.4000000000,2019-01-01,"0930",Terra,MODIS,"58","6.03",305.2000000000,20.1000000000,D,"0"
8.6386000000,10.3837000000,319.0000000000,2.0000000000,1.4000000000,2019-01-01,"0930",Terra,MODIS,"49","6.03",305.2000000000,19.7000000000,D,"0"
11.4103000000,13.9771000000,327.6000000000,1.2000000000,1.1000000000,2019-01-01,"0930",Terra,MODIS,"77","6.03",308.7000000000,18.8000000000,D,"0"
6.6373000000,8.3231000000,319.0000000000,2.7000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"71","6.03",298.7000000000,37.0000000000,D,"0"
6.5533000000,8.3786000000,314.7000000000,2.6000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"64","6.03",298.0000000000,24.8000000000,D,"0"
6.5484000000,8.3709000000,319.4000000000,2.6000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"73","6.03",298.1000000000,42.8000000000,D,"0"
6.6326000000,8.3165000000,314.6000000000,2.7000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"64","6.03",298.8000000000,22.9000000000,D,"0"
7.6138000000,10.4275000000,316.8000000000,1.9000000000,1.3000000000,2019-01-01,"0931",Terra,MODIS,"65","6.03",301.7000000000,16.1000000000,D,"0"
7.8654000000,8.6913000000,326.9000000000,2.6000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"79","6.03",303.2000000000,59.6000000000,D,"0"
6.9964000000,8.5333000000,313.4000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"57","6.03",299.9000000000,17.5000000000,D,"0"
7.8598000000,8.6843000000,319.9000000000,2.6000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"71","6.03",302.9000000000,31.6000000000,D,"0"
7.8567000000,8.7077000000,326.6000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"79","6.03",303.0000000000,60.1000000000,D,"0"
7.8624000000,8.7148000000,321.0000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"68","6.03",303.0000000000,34.1000000000,D,"0"
7.2238000000,10.2048000000,314.9000000000,1.9000000000,1.4000000000,2019-01-01,"0931",Terra,MODIS,"55","6.03",300.6000000000,13.7000000000,D,"0"
6.1753000000,8.3750000000,318.1000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"72","6.03",296.0000000000,38.2000000000,D,"0"
6.1666000000,8.3907000000,311.7000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"59","6.03",295.3000000000,20.3000000000,D,"0"
7.6479000000,11.4387000000,314.7000000000,1.6000000000,1.2000000000,2019-01-01,"0931",Terra,MODIS,"53","6.03",302.5000000000,11.5000000000,D,"0"
6.1698000000,8.3676000000,316.5000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"69","6.03",295.9000000000,35.4000000000,D,"0"
7.5373000000,11.9278000000,321.1000000000,1.5000000000,1.2000000000,2019-01-01,"0931",Terra,MODIS,"72","6.03",298.9000000000,24.2000000000,D,"0"
7.5356000000,11.9407000000,323.1000000000,1.5000000000,1.2000000000,2019-01-01,"0931",Terra,MODIS,"75","6.03",298.4000000000,28.0000000000,D,"0"
7.5424000000,11.9350000000,325.2000000000,1.5000000000,1.2000000000,2019-01-01,"0931",Terra,MODIS,"78","6.03",298.9000000000,32.0000000000,D,"0"
7.5317000000,11.9336000000,316.3000000000,1.5000000000,1.2000000000,2019-01-01,"0931",Terra,MODIS,"64","6.03",298.9000000000,16.4000000000,D,"0"
6.8205000000,7.7112000000,315.9000000000,3.0000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"65","6.03",299.1000000000,36.6000000000,D,"0"
6.8207000000,7.7041000000,320.4000000000,3.0000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"73","6.03",299.1000000000,57.5000000000,D,"0"
6.7239000000,8.5256000000,312.9000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"57","6.03",298.7000000000,17.6000000000,D,"0"
6.6222000000,8.4417000000,314.4000000000,2.6000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"62","6.03",298.9000000000,21.7000000000,D,"0"
6.6274000000,8.4601000000,313.8000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"62","6.03",299.2000000000,21.3000000000,D,"0"
6.7601000000,8.2975000000,313.1000000000,2.7000000000,1.6000000000,2019-01-01,"0931",Terra,MODIS,"57","6.03",299.0000000000,22.1000000000,D,"0"
6.6358000000,8.7662000000,316.6000000000,2.5000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"67","6.03",297.1000000000,29.4000000000,D,"0"
6.8239000000,7.6842000000,319.8000000000,3.0000000000,1.7000000000,2019-01-01,"0931",Terra,MODIS,"72","6.03",298.9000000000,55.5000000000,D,"0"
6.8244000000,7.6769000000,313.0000000000,3.0000000000,1.7000000000,2019-01-01,"0931",Terra,MODIS,"59","6.03",298.5000000000,27.3000000000,D,"0"
7.9132000000,11.2563000000,315.3000000000,1.6000000000,1.3000000000,2019-01-01,"0931",Terra,MODIS,"53","6.03",302.0000000000,14.4000000000,D,"0"
7.5707000000,12.0011000000,315.7000000000,1.4000000000,1.2000000000,2019-01-01,"0931",Terra,MODIS,"54","6.03",301.0000000000,14.5000000000,D,"0"
7.4676000000,8.6807000000,320.0000000000,2.6000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"71","6.03",302.4000000000,34.6000000000,D,"0"
6.5947000000,11.2594000000,319.7000000000,1.6000000000,1.2000000000,2019-01-01,"0931",Terra,MODIS,"70","6.03",304.4000000000,14.6000000000,D,"0"
8.3477000000,9.2049000000,318.2000000000,2.4000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"62","6.03",304.7000000000,19.2000000000,D,"0"
8.3470000000,9.7308000000,319.9000000000,2.2000000000,1.4000000000,2019-01-01,"0931",Terra,MODIS,"66","6.03",302.2000000000,24.4000000000,D,"0"
8.3636000000,9.2944000000,318.4000000000,2.4000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"63","6.03",304.5000000000,21.6000000000,D,"0"
8.3679000000,9.2888000000,318.2000000000,2.4000000000,1.5000000000,2019-01-01,"0931",Terra,MODIS,"63","6.03",304.6000000000,18.8000000000,D,"0"
6.9807000000,8.5088000000,319.7000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"59","6.03",304.5000000000,19.3000000000,D,"0"
8.2859000000,8.8039000000,323.5000000000,2.0000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"66","6.03",305.7000000000,22.1000000000,D,"0"
8.1143000000,8.8812000000,332.2000000000,2.0000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"81","6.03",302.7000000000,56.1000000000,D,"0"
8.2665000000,9.2611000000,326.9000000000,1.9000000000,1.3000000000,2019-01-01,"1231",Aqua,MODIS,"72","6.03",304.2000000000,31.9000000000,D,"0"
8.0794000000,8.9794000000,320.4000000000,2.0000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"58","6.03",300.3000000000,21.7000000000,D,"0"
5.9347000000,7.7623000000,312.9000000000,2.7000000000,1.6000000000,2019-01-01,"1231",Aqua,MODIS,"64","6.03",293.0000000000,19.2000000000,D,"0"
7.6062000000,10.4170000000,337.7000000000,1.6000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"87","6.03",308.2000000000,51.1000000000,D,"0"
7.6195000000,10.4295000000,327.2000000000,1.6000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"75","6.03",308.5000000000,25.9000000000,D,"0"
7.6173000000,10.4153000000,328.1000000000,1.6000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"78","6.03",308.8000000000,27.6000000000,D,"0"
7.9121000000,10.0157000000,322.7000000000,1.7000000000,1.3000000000,2019-01-01,"1231",Aqua,MODIS,"65","6.03",307.3000000000,21.3000000000,D,"0"
5.5581000000,5.6990000000,308.2000000000,4.0000000000,1.9000000000,2019-01-01,"1231",Aqua,MODIS,"20","6.03",282.6000000000,30.0000000000,D,"2"
7.4497000000,9.9957000000,324.2000000000,1.7000000000,1.3000000000,2019-01-01,"1231",Aqua,MODIS,"74","6.03",307.9000000000,22.4000000000,D,"0"
8.2133000000,8.4290000000,323.6000000000,2.2000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"68","6.03",303.9000000000,30.2000000000,D,"0"
7.3551000000,10.6478000000,315.8000000000,1.5000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"54","6.03",299.0000000000,16.9000000000,D,"0"
7.3774000000,8.2184000000,316.7000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"55","6.03",290.3000000000,23.9000000000,D,"0"
5.9402000000,7.9799000000,333.9000000000,2.6000000000,1.6000000000,2019-01-01,"1231",Aqua,MODIS,"87","6.03",298.9000000000,104.2000000000,D,"0"
7.0125000000,9.2053000000,320.9000000000,2.0000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"70","6.03",305.0000000000,20.8000000000,D,"0"
7.8547000000,8.7269000000,333.9000000000,2.1000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"83","6.03",293.6000000000,70.1000000000,D,"0"
7.8516000000,8.7079000000,328.2000000000,2.1000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"75","6.03",292.9000000000,51.0000000000,D,"0"
7.8485000000,8.6889000000,321.9000000000,2.1000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"56","6.03",291.7000000000,31.6000000000,D,"0"
7.8642000000,8.7058000000,318.4000000000,2.1000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"8","6.03",294.2000000000,20.3000000000,D,"0"
5.9542000000,5.6827000000,310.4000000000,3.9000000000,1.8000000000,2019-01-01,"1231",Aqua,MODIS,"46","6.03",292.1000000000,27.3000000000,D,"0"
7.2038000000,10.1928000000,320.3000000000,1.7000000000,1.3000000000,2019-01-01,"1231",Aqua,MODIS,"56","6.03",305.1000000000,15.1000000000,D,"0"
7.2151000000,10.1910000000,320.4000000000,1.7000000000,1.3000000000,2019-01-01,"1231",Aqua,MODIS,"57","6.03",305.9000000000,15.1000000000,D,"0"
7.2287000000,10.2042000000,328.2000000000,1.7000000000,1.3000000000,2019-01-01,"1231",Aqua,MODIS,"79","6.03",306.3000000000,30.9000000000,D,"0"
7.2298000000,10.2124000000,321.2000000000,1.7000000000,1.3000000000,2019-01-01,"1231",Aqua,MODIS,"65","6.03",306.6000000000,14.3000000000,D,"0"
7.2274000000,10.1975000000,324.8000000000,1.7000000000,1.3000000000,2019-01-01,"1231",Aqua,MODIS,"74","6.03",306.3000000000,23.0000000000,D,"0"
